doi;author;title;year;abstract;journal
10.1163/19606028-05201000;;Front matter;2023;"""Front matter"" published on 24 Feb 2023 by Brill.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10027;Yunfan LAI;On plosive-nasal correspondences and alternations in Gyalrongic and their possible solutions;2023;Abstract Gyalrongic languages exhibit a series of non-trivial nasal-plosive (or approximant) correspondences, which so far lack an explanation. Some nasal consonants, mainly found in West Gyalrongic languages, correspond to plosives or approximants in their East Gyalrongic cognates. Long considered irregular, these correspondences have never been studied with the comparative method. This paper tackles these seeming correspondences and makes the first attempt to reconstruct them. I propose a series of voiceless nasals to account for their modern reflexes with various articulation manners, and analyse the plausibility of this reconstruction. I discuss the forms in question vis-?-vis their cognates in other Sino-Tibetan languages that exhibit a nasal. I also compare alternative solutions with the voiceless nasal hypothesis.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10028;Nathan W. HILL;An Indological transcription of Middle Chinese;2023;Abstract Because most Sino-Tibetan languages with a literary tradition use Indic derived scripts and those that do not are each sui generis, there are advantages to transcribing these languages also along Indic lines. In particular, this article proposes an Indological transcription for Middle Chinese.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10030;Nathaniel A. SIMS;An analysis of Hodgson’s ‘Thochu’;2023;Abstract In 1853, Brian Houghton Hodgson published linguistic data for Rma (< Trans-Himalayan) under the label ‘Thochu’. Nonetheless, his work has not been fully considered in the study of Rma historical linguistics. Recent advances in the study of Rma phonology allow for us to more confidently identify the position of the variety described by Hodgson as well as isoglosses between Thochu and other Rma varieties. This present article gives an analysis of the Rma forms given by Hodgson and discusses their implications for the historical phonology of Rma.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10029;"Shuhan LIN; Pui Yiu SZETO";Disposal constructions in Chaoshan Southern Min;2023;"Abstract This study examines the use of various types of disposal constructions in the Chenghai dialect of Chaoshan Southern Min. Based on the distinction between head-marking and dependent-marking grammar, we identify four types of disposal constructions, depending on the position of the marker. We performed the fruit cart task to elicit disposal constructions from 30 native speakers of this dialect. Our results indicate that zero-marking is the most dominant construction type, where topicalization represents the most common subtype; this observation is in line with Southern Min’s strong tendency towards topicalized structures. Nonetheless, despite its dominance at present, the frequency of this construction type increases with age, which suggests that it may be losing ground. Notably, according to our preliminary observation, another topicalized structure in Chenghai Southern Min also seems falling into disfavour, suggesting that the declining use of topicalization in this Chaoshan dialect may be systemic.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10031;Etienne BAUDEL;Alexander Vovin;2023;"""Alexander Vovin"" published on 24 Feb 2023 by Brill.";CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10023;Bit-Chee KWOK;Multiple origins of Southeastern Sinitic tsh- corresponding to Middle Chinese s- or sr-;2022;Abstract There are nearly 20 words with Middle Chinese onsets s- or sr- whose reflexes in modern Southeastern Sinitic (M?n, Southern W?, Hakka, and G?n) are aspirated affricates. Examples of such words include s? ? ‘to tear,’ s? ? ‘grain,’ xi?n ? ‘fresh,’ and x?ng ? ‘star.’ This paper reveals that there are at least four origins for these correspondence sets, three of which can be connected with Old Chinese. The remaining is a self-innovation of the ancestor of the Southeastern Sinitic group. In this sense, the reflexes of modern Southeastern Sinitic can be taken as an important additional material in the reconstruction of Old Chinese.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10024;Lingzi ZHUANG;GL-impsing Bodish;2022;Abstract A heretofore unrecognized prefix **g- is reconstructed for Proto-Bodish as an agentive transitivization prefix. This prefix is fossilized before liquids in at least 9 Tamangic verbs, and preserved as a root preinitial in at least 39 Tibetan verbs. The semantic value of agentive transitivization is characterized as an increase in the level of Agent involvement, and/or in the Agent’s conscious effort in performing the action. I describe a newly-documented suffix -w? in Sikle? Gurung (Tamangic) which innovatively grammaticalize this meaning category. The reconstruction of **g- lends support to the notional Bodish subgroup by grounding it in a shared innovation.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10025;Sireemas MASPONG;Khmer onset voicing at the end of the 13th century;2022;Abstract Khmer displays extensive diachronic phonological restructuring (Huffman, 1976), especially in the realization of initial stops. These changes include (i) devoicing and merger of voiced and voiceless stops, and (ii) the emergence of implosives from pre-vocalic voiceless stops. However, the details and the chronology of these changes remain unclear in many respects. This paper proposes a chronology of the two changes based on philological evidence: Chinese transcriptions of Khmer words in the Zh?nl? F?ngt? J? (ZFTJ), a travel account from the late 13th century. Previous research on ZFTJ by Pelliot (1951) suggested that implosives had already emerged at the time of transcription, while the merger of voiced and voiceless stops had at least started. This is at odds with the general view of Khmer language history. I motivate a revised analysis of the Khmer transcriptions in the ZFTJ and show that the devoicing and merger of voiced and voiceless stops in fact had not yet occurred at the end of the 13th century. There is, however, not enough evidence from ZFTJ to confirm whether implosives had already emerged.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
10.1163/19606028-bja10026;Nathaniel A. SIMS;Tone and vowel uvularity in Rma;2022;Abstract Evans’ 2006b recognition of a phonological opposition between plain and uvularized vowels in the H?ngy?n variety of Northwestern Rma was an important discovery for Rma linguistics, yet the diachronic origins of this phenomenon have not been fully considered. This paper considers the origin of uvularized vowels in the H?ngy?n dialect through comparison with the tonal L?ngx? variety, finding plain and uvularized vowels in H?ngy?n to correspond regularly with H and L tones in L?ngx? Rma.;CAHIERS DE LINGUISTIQUE ASIE ORIENTALE
