doi;author;title;year;abstract;journal
10.1075/lic.21006.gan;"Vittorio Ganfi; Valentina Piunno; Lunella Mereu";Body part metaphors in phraseological expressions: A comparative survey of Italian, Spanish, French and English;2022;The paper addresses the employment of body part nouns in the creation of phraseological expressions of some European languages, a topic at the crossroads of language, cognition and culture. In particular, the contrastive analysis explores the common linguistic representation of meanings through body part metaphorical expressions in Italian, French, Spanish and English. While several efforts to gauge the existence of a “European linguistic type” (cf. Haspelmath, 2001) have been largely devoted to the study of grammatical structures, a systematic account of the lexical component of the major European languages has not been attempted yet. Among the lexical units, phraseological expressions (e.g. compounds, multiword units, idiomatic expressions, as well as light verb and light noun constructions) represent a relevant ground to inquire into, since they are the most transparent and authentic vehicle of common ideas and experiences gradually rooted in European communicative realities.;LANGUAGES IN CONTRAST
10.1075/lic.21013.vin;Igor Vinogradov;Pioneers of contrastive linguistics: Dominican missionaries in Highland Guatemala;2022;This paper revisits the translational practices of Dominican missionaries who worked in multilingual settings in the Guatemalan highlands in the colonial period. It is argued that the missionaries developed the emerging ideas of European Renaissance linguistics and applied methods of contrastive linguistics to indigenous languages long before this discipline came into being. The main argument derives from an 18th-century collection of missionary writings in Q’eqchi’ and Poqomchi’, two Mayan languages spoken in Guatemala. An uncommon phrase-by-phrase alignment of bilingual texts allows for the assumption that a contrastive approach to genetically related languages could be the underlying principle in language learning and translation at that time.;LANGUAGES IN CONTRAST
10.1075/lic.21004.sie;Dirk Siepmann;This deserves a brief mention: A multi-corpus comparison of written and spoken academic discourse in English and French with implications for pedagogy and: lexicography;2022;"This article takes a doubly contrastive approach to spoken academic language. On the one hand, it explores genre differences between spoken and written academic English and French; on the other, it considers divergences between spoken academic discourse in the two languages. The corpora used for this purpose were purpose-built on the basis of YouTube video subtitles and other sources. The focus of attention is on keywords and key metadiscursive routines. The results suggest that, somewhat counterintuitively, the distance between academic speech and writing is smaller in French than it is in English, so that written routines can be more easily transferred to speech in French. French written and spoken discourse shows a greater degree of abstraction and self-referentiality than is the case in English. The article selectively illustrates that both French and English have a distinct set of spoken routines that are not used in writing; these need to be described and recorded in lexicographic resources to make them available for teachers and learners.";LANGUAGES IN CONTRAST
10.1075/lic.22004.cac;"Caterina Cacioli; Paola Vernillo";How did you break that?: Semantic boundaries of Italian and English  action verbs encoding breaking events;2023;Cross-linguistic research has brought extensive evidence on how languages differ in their categorization of actions and events, pointing out the differences in the semantic categories they establish, their boundaries and their degree of granularity with respect to the variety of events they refer to. Verbs describing breaking events vary in terms of generality or specificity of the action description (e.g., breaking or snapping a twig) or salience of specific semantic components characterising the event (e.g., smash being associated with violent destruction) and the same event can be construed differently within the same language (e.g., crack/break an egg). In this article we set out to explore the semantic boundaries of verbs describing breaking events within and between languages. We propose a new methodology combining corpora and a video ontology, using verb pairs generally regarded as translation equivalents in bilingual dictionaries. The study contributes to research on semantic categorization and verbs correspondences between Italian and English.;LANGUAGES IN CONTRAST
10.1075/lic.17.1.01bou;Myriam Boulin;Now and xianzai: A contrastive study of two deictic adverbs;2017;"The present study looks at the deictic adverbs now and ?? (xianzai) and examines their respective roles in English and Chinese. Now and xianzai are commonly considered to be semantically equivalent. Their primary value is temporal: both now and xianzai refer to the time of utterance, or more generally to a temporal interval which includes the time of utterance. By examining a parallel corpus of Taiwanese and English novels, this paper aims to show that apart from this present-reference value, now and xianzai have little in common. The analysis of aligned texts reveals that: (1) now is more frequent than xianzai; (2) there is an asymmetry in the temporal use of both markers. Following Wang (2001), I argue that now has a wider semantic range than xianzai: whereas now might be used pragmatically (Now, why on earth did she leave at such a time?), xianzai is limited to strict temporal reference. It appears that even in its temporal use, now is more complex than xianzai; now is quasi-systematically contrastive, whereas xianzai tends to be purely deictic. We conclude that now is closer in function to the Chinese particle le than to the adverb xianzai.";LANGUAGES IN CONTRAST
10.1075/lic.17.1.02mol;Alessandra Molino;A contrastive analysis of reporting clauses in comparable and translated academic texts in English and Italian;2017;"This article investigates the use of finite reporting clauses with that-clause complementation (e.g. I will suggest that…) as devices for the expression of stance in academic texts (Hyland and Tse 2005; Charles 2006). These constructions are compared to their functional equivalents in Italian, i.e. reporting clauses with che (‘that’) complementiser. The comparison is carried out using a corpus-based approach, involving the analysis of a parallel corpus of Political Science papers in English and their translations into Italian, as well as a comparable corpus of articles originally written in Italian within the same discipline. Thanks to their ability to convey evaluative meanings, reporting clauses are analysed as structures that may provide insights into the epistemological negotiations taking place in the encounter of different research traditions through the practice of translation.";LANGUAGES IN CONTRAST
10.1075/lic.17.1.03ber;Thomas Berg;Compounding in German and English: A quantitative translation study;2017;"German is well-known for its propensity for nominal compounding. This claim is put on a firmer empirical footing by means of a bidirectional translation study between German and English. The difference between the two languages crystallizes in the competition between compounds and phrases. Two complementary asymmetries emerge: first, German compounds are more frequently translated by English phrases than English compounds by German phrases; second, English phrases are more frequently translated by German compounds than German phrases by English compounds. An extension to other word classes shows that the compounding bias in German is not restricted to nouns. It is tentatively argued that the token frequency of word classes plays a role in the emergence of compound propensity. The heavier use of nouns and adjectives in German than in English might be partly responsible for the higher rate of nominal and adjectival compounding in the former than the latter language.";LANGUAGES IN CONTRAST
10.1075/lic.17.1.04cri;"Ludivine Crible; Liesbeth Degand; Ga?tanelle Gilquin";The clustering of discourse markers and filled pauses: A corpus-based French-English study of (dis)fluency;2017;This article presents a corpus-based contrastive study of (dis)fluency in French and English, focusing on the clustering of discourse markers (DMs) and filled pauses (FPs) across various spoken registers. Starting from the hypothesis that markers of (dis)fluency, or ‘fluencemes’, occur more frequently in sequences than in isolation, and that their contribution to the relative fluency of discourse can only be assessed by taking into account the contextual distribution of these sequences, this study uncovers the specific contextual conditions that trigger the clustering of fluencemes in the two languages. First, the contexts of appearance of DMs and FPs are described separately, both in English and French, focusing on their distribution, position and co-occurrence patterns. Then, the combination of DMs and FPs in sequences and their different configurations (DM+FP, FP+DM, etc.) are investigated. Overall, it appears that FPs function differently depending on whether they are clustered with DMs or not, and this difference consists in either maintaining or erasing inter- and intra-linguistic contrasts.;LANGUAGES IN CONTRAST
10.1075/lic.17.1.05dec;"Barbara De Cock; Neus Nogu? Serrano";The pragmatics of person reference: A comparative study of Catalan and Spanish parliamentary discourse;2017;In this article, we show through a contrastive analysis of person reference in Catalan and Spanish parliamentary discourse, that it is paramount to take into account not only syntactic but also pragmatic factors in order to adequately analyse the differences between two languages that have rather similar morphological paradigms. Thus, we will show that singular deictics are used more widely in Spanish parliamentary discourse, whereas plural forms are preferred in Catalan, which is possibly related to more general cultural features and to the political system as a whole. Furthermore, we will discuss differences in the use of the formal address forms. Finally, we will show that some differences in the use of vocatives may be due to the debating styles and history of the respective parliaments.;LANGUAGES IN CONTRAST
10.1075/lic.17.1.06mir;"Montserrat Mir; Josep M. Cots";Beyond saying thanks: Compliment responses in American English and Peninsular Spanish;2017;This study explores how American English and Peninsular Spanish speakers respond to a compliment. Participants completed an online discourse completion test with nine different complimenting scenarios. A total of 14 different strategies for responding to a compliment were found in the data. Based on verbal reports on language use, it was found that Peninsular Spanish speakers do not compliment as often as American English speakers do. The data analysis also revealed that both language groups clearly prefer to accept a compliment, but whereas American English speakers regard a simple ‘thank you’ as an appropriate compliment response, Peninsular Spanish speakers prefer to agree with the complimented assertion by making a semantically fitted comment. Other differences include the importance of returning a compliment in American English and the need to scale down the illocutionary force of the compliment among Peninsular Spanish speakers.;LANGUAGES IN CONTRAST
10.1075/lic.17.1.07van;Jasper Vangaever;Hellqvist, 2015. Le g?rondif en fran?ais et les structures correspondantes en su?dois;2017;;LANGUAGES IN CONTRAST
10.1075/lic.17.1.08nas;Joshua Nash;Lim, Lisa & Umberto Ansaldo, 2016. Languages in Contact;2017;;LANGUAGES IN CONTRAST
10.1075/lic.00024.gab;"S?lvia Gabarr?-L?pez; Laurence Meurant";Contrasting signed and spoken languages: Towards a renewed perspective on language;2022;For years, the study of spoken languages, on the basis of written and then also oral productions, was the only way to investigate the human language capacity. As an introduction to this first volume of Languages in Contrast devoted to the comparison of spoken and signed languages, we propose to look at the reasons for the late emergence of the consideration of signed languages and multimodality in language studies. Next, the main stages of the history of sign language research are summarized. We highlight the benefits of studying cross-modal and multimodal data, as opposed to the isolated investigation of signed or spoken languages, and point out the remaining methodological obstacles to this approach. This contextualization prefaces the presentation of the outline of the volume.;LANGUAGES IN CONTRAST
10.1075/lic.00023.qui;"David Quinto-Pozos; Fey Parrill; Caitie Coons";The interface between grammar and bodily enactment in ASL and English;2022;Users of signed and spoken languages regularly engage bodily enactment (commonly referred to as constructed action [CA] for signers and character viewpoint gestures [CVPT] for speakers) for the creation of meaning, but comparatively few studies have addressed how linguistic grammar interfaces with such gestural depictive devices across language modalities. CVPT gestures have been shown to co-occur with spoken language transitive verbs, and when a reference is definite or more accessible in the discourse. In sign, CA often alternates sequentially with fully conventionalized signs. In both CVPT and CA demonstrations, syntactic and pragmatic factors appear to be important. In this work, we consider these patterns by examining short retellings of video-based elicitation stimuli (silent-movie segments) from 10 deaf users of ASL (American Sign Language) and 20 hearing speakers of English. We describe examples of signs and words that co-occur with or precede specific instances of CA and CVPT. We also examine distributions and degrees of enactment across participants in order to consider the question of gesture threshold (Hostetter and Alibali, 2008, 2019). We provide various examples of how gestural material interfaces with linguistic grammar, which has implications for syntactic theory and possible grammatical constraints on such communicative devices.;LANGUAGES IN CONTRAST
10.1075/lic.00020.jan;Terry Janzen;Embodied cognition: ASL signers’ and English speakers’ use of viewpointed space;2022;Recent work has shown that ASL (American Sign Language) signers not only articulate the language in the space in front of and around them, they interact with that space bodily, such that those interactions are frequently viewpointed. At a basic level, signers use their bodies to depict the actions of characters, either themselves or others, in narrative retelling. These viewpointed instances seem to reflect “embodied cognition”, in that our construal of reality is largely due to the nature of our bodies (Evans and Green, 2006) and “embodied language” such that the symbols we use to communicate are “grounded in recurring patterns of bodily experience” (Gibbs, 2017:?450). But what about speakers of a spoken language such as English? While we know that meaning and structure for any language, whether spoken or signed, affect and are affected by the embodied mind (note that the bulk of research on embodied language has been about spoken, not signed, language), we can learn much about embodied cognition and viewpointed space when spoken languages are treated as multimodal. Here, we compare signed ASL and spoken, multimodal English discourse to examine whether the two languages incorporate viewpointed space in similar or different ways.;LANGUAGES IN CONTRAST
10.1075/lic.00022.par;"Anne-Marie Parisot; Darren Saunders";Character perspective shift sequences and embodiment markers in signed and spoken discourse;2022;The aim of this study is to present a distributional portrait of forms of character-perspective sequences as produced by LSQ (Langue des signes qu?b?coise) signers and Quebec French speakers, in relation to corporal and grammatical marking in a set of recorded discourses. Among the forms we examine are grammatical, corporal and rhythm markers. As for the types of character perspective shift examined, we focus on the nature of the event that is being enacted: speech, thought, action or gesture. The dataset employed in the study consists of short, elicited narratives using video sketches as stimuli. Both Deaf signers and French speakers were asked to describe short scenarios that were displayed without any signing or speech. Half of the stimuli were constructed from a series of factual events containing no emphatic reactions or actions, while the other half included emphatic elements. Twenty-four narratives produced by these two groups were transcribed and coded using ELAN to determine the distribution of character perspective shift sequences (CPS) used in terms of presence (duration) and frequency (occurrences). Further markers were also identified in terms of frequency, which was then analyzed with a factorial ANOVA statistical model. The overall finding of this study is that CPS is used in both language groups, despite their varying results in terms of the distribution of frequency and markers.;LANGUAGES IN CONTRAST
10.1075/lic.00021.lep;Alysson Lepeut;When hands stop moving, interaction keeps going: A study of manual holds in the management  of conversation in French-speaking and signing Belgium;2022;This study explores moments in signed and spoken conversation when manual production is on hold and its resulting interactive ramifications. Typically, the temporal structure of gesture and sign can be decomposed into a stream of distinct manual phases. There are moments, however, when this activity is stopped. This may happen for various reasons, e.g., when seeking attention, holding the floor or during overlaps. Holds have mostly been examined in sign languages regarding prosody, syntax, and corresponding to vowel lengthening in spoken languages. In gesture studies, they have been overlooked for not deemed relevant in the gesture-speech interface. By combining contrastive and multimodal analyses, this paper examines the relevance of holds as potential meaning-making practices deployed by LSFB signers and its comparison to Belgian French speakers. In 3 hours of video-recorded material drawn from 3 multimodal corpora, the following question is addressed: what are the roles of holds in the management of interaction within and across languages/modalities? While most of linguistic work considers manual movements to express referential content, the observations here push to reconsider the common boundary set between what constitutes gestural/linguistic phenomena in one language and what does not.;LANGUAGES IN CONTRAST
10.1075/lic.00025.meu;"Laurence Meurant; Aur?lie Sinte; S?lvia Gabarr?-L?pez";A multimodal approach to reformulation: Contrastive study of French and French Belgian Sign Language through the productions of speakers, signers and interpreters;2022;Reformulation is remarkably frequent in discourse and has been the subject of much work in spoken languages, both on written and oral data. Because of its metalinguistic nature, combined with its general aim of clarifying an expression, the act of reformulation offers a window to the way speakers process and adjust their expression in discourse. However, to date, the study of reformulation has hardly taken into account the now increasingly recognized multimodal and semiotically composite nature of language. This study aims to revisit the notion of reformulation from a multimodal perspective by comparing the use and semiotic composition of reformulations in the discourse of speakers and signers, as well as in the productions of interpreters. In doing so, we lay the foundations for a comparative study of discourse in signed and spoken language that accounts for the multimodality and semiotic complexity of language practices in different human ecologies.;LANGUAGES IN CONTRAST
10.1075/lic.20004.rad;"Valentin R?dulescu; Dani?l Van Olmen";A questionnaire-based study  of impersonalization in Romanian  and English: With special attention to passivization;2021;"This paper is the first contrastive study of impersonalization in Romanian and English. Taking an acceptability judgment approach, we describe the functional potential in all impersonal uses of not only the pronouns ‘one’, ‘you’ and ‘they’ but also the lesser studied passive. We find inter alia: a similar division of labor in the languages between ‘you’ and ‘they’ for contexts paraphrasable as, respectively, ‘everyone’ and ‘someone/some people’; a wider range of uses for pro-dropped ‘they’ than for its overt counterpart, as hypothesized in previous research; and a preference in English, but not Romanian, for passives to ‘they’ especially in contexts like ‘they’ve stolen my wallet!’, where the referent is entirely unidentifiable and likely to be singular. Levels of identifiability and number, each of which has been suggested in a separate semantic map as necessary for capturing impersonalization, are also shown to interact, supporting a proposal to combine them in one map.";LANGUAGES IN CONTRAST
10.1075/lic.19016.per;"Mar?a P?rez Blanco; Marl?n Izquierdo";Engaging with customer’s emotions: A case study in English-Spanish online food advertising;2021;Informational-persuasive discourse may be encoded in promotional strategies through which a given product is described in a positive way to persuade potential customers. For this, evaluation may appeal to reason or may tickle emotions (Cook, 2001). This study compares the way in which advertising texts for herbal tea engage with customers’ emotions in English and in Spanish. We examined the strategies of ‘enjoying the experience’ and ‘aesthetic appeal’ from an Appraisal Theory approach (Martin and White, 2005). We categorised these according to the attitude sub-systems of ‘affect’, ‘appreciation’, and ‘judgement’, determined how explicit the evaluation was, and identified gradable resources. Results show that English texts display more ‘affect’-like resources that can awaken a desire in the customer. By contrast, in the Spanish sample ‘appreciation’ resources that evaluate the composition of the product play a greater role. ‘Enjoying the experience’ seems to engage with the customers’ emotions more overtly than ‘aesthetic appeal’.;LANGUAGES IN CONTRAST
10.1075/lic.20001.kos;"Eva Kosmata; Barbara Schl?cker";Contact-induced grammatical change?: The case of proper name compounding in English, German, and Dutch;2021;The paper discusses how language contact and borrowing can be established as a critical factor of quantitative and/or qualitative changes of abstract grammatical patterns, in particular if languages are genetically and areally closely related and thus structurally similar. More specifically, it deals with the question of whether the word-formation pattern of proper name compounding in German and Dutch is an instance of grammatical borrowing from English, as is often claimed in the literature. To this end, we conduct a structural analysis of the pattern in the three languages based on original and translation corpus data. We show that the pattern which, at first glance, seems to be identical in all three languages has in fact different properties in each language. Although this does not necessarily preclude transfer from English, we conclude that there is no evidence in favour of such an influence.;LANGUAGES IN CONTRAST
10.1075/lic.21008.van;Raf Van Rooy;Contrastive grammar in the Renaissance: The subtle presence of Greek in Jean Pillot’s French grammar (1550/1561);2021;This paper focuses on how Jean Pillot, author of the most popular French grammar of the sixteenth century in terms of editions, took efforts to contrast his native language with Greek. His Gallic? lingu? institutio (1550/1561), although written in Latin, contains numerous passages where Pillot subtly confronted French with Greek, surveyed in Section 2, in order to give his audience of educated German speakers a clearer view of the idiosyncrasies of French. In Section 3, I analyze why he preferred Greek to the other languages he knew in quite a number of cases, arguing that this subtle contrastive endeavor bore an indirect pedagogical and ideological load. Section 4 discusses the terminological means Pillot used to confront Greek with French, and their origins. In Section 5, I frame Pillot’s appropriation of Greek grammar in the long history of contrastive language studies, with special reference to the pivotal role of sixteenth-century linguistic analysis.;LANGUAGES IN CONTRAST
