doi;author;title;year;abstract;journal
10.1075/sl.21072.vol;Maria Vollmer;Comparing zero and referential choice in eight languages with a focus on Mandarin Chinese;2023;Mandarin has a low rate of overtly expressed arguments in all syntactic functions without agreement marking on the verb. It has been claimed that Mandarin exhibits higher rates of zero arguments than other languages. Most previous work has compared Mandarin with English, while comparison with other languages remains a desideratum. This study compares Mandarin with seven languages (Cypriot Greek, English, Northern Kurdish, Sanzhi, Teop, Tondano, Vera’a) taken from Multi-CAST (Haig & Schnell 2019). Results suggest that while Mandarin exhibits more zero arguments than pronouns, this is not unique, with e.g. Cypriot Greek having a higher rate of zero arguments. In addition, a relatively stable rate of lexical expressions can be found across languages, relativising Mandarin’s unique position with regard to referential choice even further.;STUDIES IN LANGUAGE
10.1075/sl.22029.fra;"Zygmunt Frajzyngier; Natalia Gurian; Sergei Karpenko";Minimal participant structure of the event and the emergence of the argument/adjunct distinction;2023;"The present study answers the following questions: why the semantic roles of agent or patient are often unmarked; why other semantic roles, such as benefactive, stative locative, goal, or source, are unmarked when used with some verbs and marked when used with other verbs; and why semantic relations such as ‘associative’, ‘instrumental’, ‘reason’, ‘purpose’, and others often referred to as ‘adjuncts’ are usually marked. The study, based on Sino-Russian idiolects spoken in the Far East of Russia, proposes that at an early stage in the formation of grammatical systems by adult speakers, if a noun phrase fulfills the role of one of the participants in the minimal participant structure of the event, the semantic role of the noun phrase is not marked. If the noun phrase does not fulfill the role of one of the participants in the minimal participant-structure of the event, the role of the noun phrase must be marked.";STUDIES IN LANGUAGE
10.1075/sl.21077.wal;"Katherine Walker; Pegah Faghiri; Eva van Lier";Argument indexing in Kamang;2023;Kamang (Alor-Pantar, non-Austronesian/Papuan) has a typologically unusual system of argument indexing, in which the S or P argument can be indexed on the verb by one of several prefix paradigms. Some verbs always show indexing, while others exhibit differential argument indexing (DAI). In DAI, the use of a particular prefix paradigm or zero marking depends on different (combinations of) factors. We investigate the effects of argument role (S, P), independent argument realisation, the animacy and topicality of the indexed argument, and lexical stipulation. We perform a quantitative analysis of these factors for the first time in Kamang discourse, drawing on an annotated corpus of spoken Kamang. A complex picture emerges in which Kamang argument indexing is best viewed not as a single system, but as multiple subsystems for which different factors are relevant in a given context, and which do not operate on all verbs or all indexing strategies equally.;STUDIES IN LANGUAGE
10.1075/sl.22041.zha;Liulin Zhang;The psycholinguistic realization of topic in Chinese: Cross-modal priming in the processing of Chinese OSV sentences;2023;An OSV word order that deviates from the canonical SVO word order is typically viewed as derived through movement. This theory has been widely supported by psycholinguistic studies showing that the displaced constituents are mentally reactivated at the gap positions. However, some cognitive-functionalists have proposed an alternative account: in a topic-prominent language like Chinese, topic is the basic unit of a sentence that delimits the frame within which the main predication holds. The present study adopts the cross-modal antecedent priming technique to test whether the sentence-initial object is structurally associated with the verb in native speakers’ online processing. Results of two experiments show that the sentence-initial object is not associated with the verb whatsoever, neither lexically nor structurally, shedding light on the typological characteristics of Chinese as a topic-prominent language. However, the processing of the antecedent object was shown facilitated at the post-quantifier position.;STUDIES IN LANGUAGE
10.1075/sl.22032.zhe;Wuxi Zheng;Person marking in Longxi Qiang;2023;In Longxi Qiang, a Tibeto-Burman language, the verb agreement system is not marking a syntactic function or semantic role. Previous studies of the Qiang language have argued that person markings reflect the person and number of the agent. My analysis based on a large amount of natural data, however, reveals several different uses of person marking. First, person marking does not always agree with the agent. It can also be used to mark non-agent, such as the possessor, recipient, beneficiary, or patient. Second, the person markings in imperatives differ from those in non-imperatives. Finally, person marking may be omitted in certain contexts.;STUDIES IN LANGUAGE
10.1075/sl.22043.fis;"Jens G. Fischer; Bastian Persohn; Veronika Ritt-Benmimoun";Phasal polarity in Tunisian Arabic;2023;This paper gives a corpus-based descriptive account of the phasal polarity system (still, already, not yet, and no longer) in the Arabic vernacular of Tunisia. The aim is to broaden the empirical foundations for cross-linguistic research in this domain, and to narrow the gap between typologically oriented and philological research on Arabic varieties. Like many languages (van Baar 1997:?118), Tunisian Arabic has autochthonous expressions for the three concepts still, not yet, and no longer. still is primarily expressed via a construction < ‘has not ceased’. Despite its conceptual transparency, this appears to be a cross-linguistically uncommon source. not yet is expressed via the inner negation of still, and no longer via a construction < ‘has not repeated’. For already, northern sedentary varieties have borrowed from French (replacing an older autochthonous expression), whereas southern Bedouin varieties have a “gap” in their system. The description further includes notes on the synchronic and diachronic variation of individual items, and functions of these outside the realm of phasal polarity.;STUDIES IN LANGUAGE
10.1075/sl.21034.wan;Chien-pang Wang;The constructional categorization of Saisiyat multi-predicate sentences;2023;"This study investigates the constructional categorization of multi-predicate sentences in Saisiyat. This type of complex sentences simultaneously involves features of serial verb construction and complementation in Saisiyat, which give rise to indeterminacy in constructional categorization. In order to solve this problem, the current study probes into the categorization between serial verb construction and complementation regarding Aarts’ (2007) constructional gradience and semantic relations (Van Valin & LaPolla 1997). The investigation demonstrates a discrete boundary between the two constructions with convergence on each other, while subtypes of multi-predicate sentences are aligned on the convergence based on intra- and inter-categorical relations. Two structural dependencies are proposed to carry out a taxonomy of Saisiyat complex sentences. A theoretical implication derives from this study that Saisiyat multi-predicate sentences are manifestations of formalized morphosyntactic configurations with a pairing of particularized semantic relations instead of coinage based on analogic conventionalization (Fillmore 1997; Goldberg 2019).";STUDIES IN LANGUAGE
10.1075/sl.20069.bia;Erica Biagetti;Early Vedic compounds: A typological reappraisal;2023;Despite a longstanding tradition of studies in Sanskrit compounds, a description that enables comparisons in cross-linguistic perspective has not yet been worked out. The present article follows classificatory criteria introduced by Bisetto & Scalise (2005, 2009) and sketches a typology of compounds in the most archaic variety of Sanskrit, Early Vedic, as transmitted by the RigVeda. Analyzing compounds on the basis of the grammatical relations holding between their constituents provides a classification into coordinate, subordinate, and attributive compounds, with the endocentric/exocentric divide cutting across all classes. In order to identify the position of Early Vedic compounds on the syntax-morphology continuum, the article investigates the degree of cohesiveness at the level of morphology, prosody, syntax, and semantics. With this respect, the RigVeda offers a varied picture where relics of archaic, less cohesive forms occur side-to-side with more productive and word-like ones.;STUDIES IN LANGUAGE
10.1075/sl.20079.gil;"Spike Gildea; J?hanna Bar?dal";From grammaticalization to  Diachronic Construction Grammar: A natural evolution of the paradigm;2022;The term grammaticalization originally denoted a particular outcome of language change (lexis > morphology), then got expanded to practically all studies involving language change, the processes that create such changes, and a theory modeling these. These expansions have been challenged in the literature as conceptually flawed. A usage-based analysis of the evolution of the concept culminates in the use of the term grammaticalization as a “flag” of a particular approach to linguistics. However, the theoretical premises of grammaticalization studies are entirely compatible with the premises of Diachronic Construction Grammar (DCxG). All studies within the “expanded” concept of grammaticalization can be explicitly modeled within DCxG, which provides formalism of sufficient detail to map the gradual nature of language change in cases of grammaticalization and beyond. Consequently, the most vigorous attacks on grammaticalization lose power when grammaticalization is seen as part of a larger, more complete theory of language and language change.;STUDIES IN LANGUAGE
10.1075/sl.22034.oh;"Yoon Mi Oh; Fran?ois Pellegrino";Towards robust complexity indices  in linguistic typology: A corpus-based assessment;2022;There is high hope that corpus-based approaches to language complexity will contribute to explaining linguistic diversity. Several complexity indices have consequently been proposed to compare different aspects among languages, especially in phonology and morphology. However, their robustness against changes in corpus size and content hasn’t been systematically assessed, thus impeding comparability between studies. Here, we systematically test the robustness of four complexity indices estimated from raw texts and either routinely utilized in crosslinguistic studies (Type-Token Ratio and word-level Entropy) or more recently proposed (Word Information Density and Lexical Diversity). Our results on 47 languages strongly suggest that traditional indices are more prone to fluctuation than the newer ones. Additionally, we confirm with Word Information Density the existence of a cross-linguistic trade-off between word-internal and across-word distributions of information. Finally, we implement a proof of concept suggesting that modern deep-learning language models can improve the comparability across languages with non-parallel datasets.;STUDIES IN LANGUAGE
10.1075/sl.21064.tsu;Tasaku Tsunoda;Grammar (morphosyntax) and discourse;2023;The present work attempts to examine the relationship between grammar and discourse. (i) First, it compares Warrongo (an ergative language that has antipassives and an S/O pivot) and English (an accusative language that has passives and an S/A pivot). Despite these polar opposite morphosyntactic characteristics, Warrongo and English behave almost in the same way in discourse – in terms of new mentions, lexical mentions and topic continuity. There are, however, two differences in discourse. First, Warrongo antipassives and S/O pivot have much higher functional loads than English passives and S/A pivot. Second, Warrongo antipassives have a use that English passives do not have. (ii) Then, the present work shows that grammar and discourse are not independent of each other and that they share one principle. The hierarchy of “O > S > A” is attested in grammar and discourse crosslinguistically and irrespective of the morphosyntactic types of the languages concerned.;STUDIES IN LANGUAGE
10.1075/sl.21042.jus;"Erika Just; Judith Vo?";Variable index placement in Gutob  from a typological perspective;2023;In Gutob (Munda, India) S/A indexes can attach to other hosts apart from the verb, unconstrained by syntax. Previous studies have described non-verbal index placement in Gutob as exceptional, establishing verbal indexes as the default. This paper presents the first case study on the placement of Gutob indexes based on corpus data. Our analysis shows that although index placement in Gutob is in fact conditioned by discourse effects, non-verbal clitics cannot be considered particularly exceptional. They are employed to allocate attention to constituents and express engagement with a particular piece of information. In other languages where index placement is similarly flexible, it has been ascribed to the host being in focus. However, we argue although the effects of index placement in Gutob might pertain to what is usually subsumed under this category, other effects like newness, quantification, requested information or negation are not necessarily associated with index placement in Gutob.;STUDIES IN LANGUAGE
10.1075/sl.22014.che;"Pin-Hsi Patrick Chen; Kwaku Owusu Afriyie Osei-Tutu; Neda Taherkhani";A cross-linguistic syntactic analysis of telicity in motion predicates in Southern Tati, Mandarin, and Ghanaian Student: Pidgin;2023;This paper proposes an analysis of telicity in motion predicates within the framework of the Exo-Skeletal Model (Borer 2005b). We hypothesize that a motion event is syntactically represented by a Path component, the core of which is a vP that introduces a Figure argument. This Path component is interpreted as quantity in the sense of Borer (2005b) when there is a certain type of morpheme present in the structure, such as a verb that denotes the reaching of an endpoint. A quantity Path component can then assign a semantic value to a functional projection called AspQP, which returns a telic interpretation. Data from Mandarin, Ghanaian Student Pidgin, and Southern Tati show AspQP can be assigned a value either with or without overt head movement. We further propose a distinction between Path and direction, which explains data that were left unexplained in previous studies and seemingly contradict our claim.;STUDIES IN LANGUAGE
