doi;author;title;year;abstract;journal
10.3366/word.2023.0217;;Front matter;2023;;WORD STRUCTURE
10.3366/word.2023.0218;"Richard  Huyghe; Rossella  Varvara";Affix rivalry: Theoretical and methodological challenges;2023;Affix rivalry is a key element in the organization and evolution of derivational systems. Its study provides insight into word-formation semantics, morphological change, productivity, lexical varia...;WORD STRUCTURE
10.3366/word.2023.0219;Sabine  Arndt-Lappe;Different lexicons make different rivals;2023;"Analogy-based theories assume that in situations of affix competition, language users create novel word forms on the basis of similar existing forms in their Mental Lexicons ( Baayen et al. 2011; D...";WORD STRUCTURE
10.3366/word.2023.0220;Mark  Aronoff;Three ways of looking at morphological rivalry;2023;Blocking and elsewhere distribution have been at the forefront of morphological theory for half a century. Each involves the preemption of one word by another. Neither is fundamental. A combination...;WORD STRUCTURE
10.3366/word.2023.0221;"Natalia  Bobkova; Fabio  Montermini";A quantitative approach to doublets in Russian denominal adjective construction;2023;This article is devoted to the rivalry between suffixes in the derivation of denominal adjectives in Russian. In particular, it proposes a large-scale quantitative analysis based on the Russian Nat...;WORD STRUCTURE
10.3366/word.2023.0222;"Mat?as Guzm?n  Naranjo; Olivier  Bonami";A distributional assessment of rivalry in word formation;2023;We contrast two views of rivalry in word formation. Under the classical, categorical view, two processes are rivals if they are semantically equivalent. Under the more nuanced, gradient view, two p...;WORD STRUCTURE
10.3366/word.2023.0223;"Juliette  Thuilier; Delphine  Tribout; Marine  Wauquier";Affix rivalry in French demonym formation: The role of linguistic and non-linguistic parameters;2023;Affix rivalry is defined as the phenomenon of morphological competition where affixes and meaning are in a many-to-one relationship. Because of their poor semantic content, demonyms are perfect can...;WORD STRUCTURE
10.3366/word.2023.0224;;Back matter;2023;;WORD STRUCTURE
10.3366/word.2022.0206;;Front matter;2022;;WORD STRUCTURE
10.3366/word.2022.0207;"Tania  Paciaroni; Alice  Idone; Michele  Loporcaro";Editors' Introduction;2022;;WORD STRUCTURE
10.3366/word.2022.0208;Greville  G. Corbett;The Agreement Hierarchy revisited: The typology of controllers;2022;The Agreement Hierarchy consists of four principal target positions: attributive, predicate, relative pronoun and anaphoric personal pronoun. It constrains the distribution of alternative agreement...;WORD STRUCTURE
10.3366/word.2022.0209;"Serge  Sagna; Virve?Anneli  Vihman; Marilyn  Vihman; Dunstan  Brown";The acquisition of demonstratives in a complex noun class system;2022;We present an exploratory study of 2- to 3-year-old children’s acquisition of the demonstrative system of Eegimaa (ISO 369–3 bqj), an endangered language belonging to the J?ola cluster of the Atlan...;WORD STRUCTURE
